alt_diff: -80.0 , velocity_diff: 1.5041468046728874e-18
alt_diff: -73.55983807959987 , velocity_diff: 0.0349767775813163
alt_diff: -72.61625398805555 , velocity_diff: 0.036304149105291915
alt_diff: -71.62921493015182 , velocity_diff: 0.03763531603033759
alt_diff: -70.59857846664792 , velocity_diff: 0.03896697164050812
alt_diff: -69.5243035412262 , velocity_diff: 0.040295970251552425
alt_diff: -68.40644566568866 , velocity_diff: 0.041619340582782494
alt_diff: -67.24515169974413 , velocity_diff: 0.04293429677015418
alt_diff: -66.04065429680978 , velocity_diff: 0.04423824699406188
alt_diff: -64.7932660879118 , velocity_diff: 0.04552879974295816
alt_diff: -63.503373675006685 , velocity_diff: 0.046803767777373356
alt_diff: -62.171431502989435 , velocity_diff: 0.04806116989723675
alt_diff: -60.79795567646562 , velocity_diff: 0.049299230647896576
alt_diff: -59.38351778321578 , velocity_diff: 0.05051637812649822
alt_diff: -57.92873878136453 , velocity_diff: 0.051711240070275374
alt_diff: -56.43428300177109 , velocity_diff: 0.05288263842195789
alt_diff: -54.90085231127182 , velocity_diff: 0.05402958257522662
alt_diff: -53.3315741255052 , velocity_diff: 0.05499241914620095
alt_diff: -51.73187084698915 , velocity_diff: 0.055777704131393366
alt_diff: -50.1046796987618 , velocity_diff: 0.05654453070813149
alt_diff: -48.45056635918135 , velocity_diff: 0.05729295223492348
alt_diff: -46.770096806502124 , velocity_diff: 0.058023096413857146
alt_diff: -45.063835057992094 , velocity_diff: 0.05873515847344268
alt_diff: -43.33234111218144 , velocity_diff: 0.059429394537823345
alt_diff: -41.57616908882511 , velocity_diff: 0.06010611522405757
alt_diff: -39.79798299649832 , velocity_diff: 0.06062518790660686
alt_diff: -38.00243997932273 , velocity_diff: 0.060993567028145006
alt_diff: -36.19399529610243 , velocity_diff: 0.06121817794423064
alt_diff: -34.37690330339416 , velocity_diff: 0.06130585944671132
alt_diff: -32.55522007673349 , velocity_diff: 0.061263316301857274
alt_diff: -30.732807383496095 , velocity_diff: 0.061097080848116596
alt_diff: -28.913337748627413 , velocity_diff: 0.06081348267373422
alt_diff: -27.100300382745274 , velocity_diff: 0.06041862540631138
alt_diff: -25.297007769913876 , velocity_diff: 0.059918369684831545
alt_diff: -23.50486477580506 , velocity_diff: 0.059433682215204786
alt_diff: -21.723462590241525 , velocity_diff: 0.05896503321720597
alt_diff: -19.952378012513407 , velocity_diff: 0.05851284264282618
alt_diff: -18.191175013084546 , velocity_diff: 0.05807748410395469
alt_diff: -16.43940617477196 , velocity_diff: 0.057659288452515944
alt_diff: -14.696614023709856 , velocity_diff: 0.057258547044383004
alt_diff: -12.963957816123354 , velocity_diff: 0.05676757772741731

  0%|                       | 1/10000 [00:01<4:12:19,  1.51s/it]
alt_diff: -9.539734507346907 , velocity_diff: 0.05553248004820827
alt_diff: -7.853193121480928 , velocity_diff: 0.054796627518584114
alt_diff: -6.1868504446019585 , velocity_diff: 0.0539870957572157
alt_diff: -4.542929979634948 , velocity_diff: 0.053107532609693156
