alt_diff: -80.0 , velocity_diff: 1.5041468046728874e-16
alt_diff: -68.4254158087144 , velocity_diff: 4.3185237513585655
alt_diff: -67.22675193752889 , velocity_diff: 4.422459075838716
alt_diff: -65.99312811501292 , velocity_diff: 4.5255351082839494
alt_diff: -64.72478547801404 , velocity_diff: 4.627591359059264
alt_diff: -63.422015334539 , velocity_diff: 4.728481895448774
alt_diff: -62.085154802813435 , velocity_diff: 4.8280752597182
alt_diff: -60.7145824714475 , velocity_diff: 4.926254275381875
alt_diff: -59.31071411445561 , velocity_diff: 5.022915752565695
alt_diff: -57.873998491588765 , velocity_diff: 5.117970103932111
alt_diff: -56.40491326098001 , velocity_diff: 5.211340882922788
alt_diff: -54.90396102756375 , velocity_diff: 5.302964256104355
alt_diff: -53.37166554718647 , velocity_diff: 5.3927884212028925
alt_diff: -51.810905210463375 , velocity_diff: 5.465262785657681
alt_diff: -50.22678949101183 , velocity_diff: 5.521047248299839
alt_diff: -48.62423646378619 , velocity_diff: 5.560817095987491
alt_diff: -47.007968522024356 , velocity_diff: 5.585254525178495
alt_diff: -45.38036135442752 , velocity_diff: 5.609304688216343
alt_diff: -43.741554024147604 , velocity_diff: 5.633016682693006
alt_diff: -42.09376824981817 , velocity_diff: 5.642525762622759
alt_diff: -40.441202116721655 , velocity_diff: 5.638485506543008
alt_diff: -38.787864583034974 , velocity_diff: 5.621537451080074
alt_diff: -37.13757904088553 , velocity_diff: 5.592307273572884
alt_diff: -35.493987967314155 , velocity_diff: 5.5514017508001245
alt_diff: -33.86055844358293 , velocity_diff: 5.499406403718622
alt_diff: -32.240588347131336 , velocity_diff: 5.436883741068521
alt_diff: -30.637213045423096 , velocity_diff: 5.364372019502641
alt_diff: -29.05341244443622 , velocity_diff: 5.282384443902659
alt_diff: -27.492018266308776 , velocity_diff: 5.191408738234256
alt_diff: -25.95572145048729 , velocity_diff: 5.091907024265514
alt_diff: -24.447079590561287 , velocity_diff: 4.984315952425327
alt_diff: -22.968524334822348 , velocity_diff: 4.869047035796684
alt_diff: -21.520753259678628 , velocity_diff: 4.757219094855585
alt_diff: -20.102800991392428 , velocity_diff: 4.648834147212564
alt_diff: -18.71370007832084 , velocity_diff: 4.543892793245413
alt_diff: -17.35248156578433 , velocity_diff: 4.442394411541355
alt_diff: -16.01817550094114 , velocity_diff: 4.344337321081419

  0%|                       | 1/10000 [00:01<4:15:37,  1.53s/it]
alt_diff: -13.434150339080333 , velocity_diff: 4.127793849845853
alt_diff: -12.188523283346512 , velocity_diff: 4.009896712889036
alt_diff: -10.97640772855766 , velocity_diff: 3.8859478168094244
alt_diff: -9.799646627927899 , velocity_diff: 3.756200798466273
alt_diff: -8.660010272159013 , velocity_diff: 3.620893567113405
alt_diff: -7.559200880909032 , velocity_diff: 3.4802487357599374
alt_diff: -6.498857071619824 , velocity_diff: 3.3344740751422504
alt_diff: -5.480558199301356 , velocity_diff: 3.1837629809256
alt_diff: -4.505828563574937 , velocity_diff: 3.028294946204054
alt_diff: -3.5761414815686408 , velocity_diff: 2.868236032638189
alt_diff: -2.6929232271904198 , velocity_diff: 2.7037393346753755
alt_diff: -1.856254529917834 , velocity_diff: 2.5436112336699437
alt_diff: -1.064901163711255 , velocity_diff: 2.387827689094217
alt_diff: -0.3176345938919951 , velocity_diff: 2.2363690117731467
alt_diff: 0.3867692175555817 , velocity_diff: 2.0892196934218363
alt_diff: 1.0495309673844417 , velocity_diff: 1.946368241090103
alt_diff: 1.6718691275849835 , velocity_diff: 1.8078070157996526
alt_diff: 2.25500102326626 , velocity_diff: 1.673532074637734
alt_diff: 2.8001438720659166 , velocity_diff: 1.5435430155556773
alt_diff: 3.308515785087792 , velocity_diff: 1.4178428241105596
alt_diff: 3.7813367292050657 , velocity_diff: 1.2964377213823037
alt_diff: 4.219829450398265 , velocity_diff: 1.1793370122960156
alt_diff: 4.625220357617934 , velocity_diff: 1.0665529335802468
alt_diff: 4.998740366480121 , velocity_diff: 0.9581005005954336
alt_diff: 5.341625701914694 , velocity_diff: 0.8539973522732721
alt_diff: 5.655118658696011 , velocity_diff: 0.7542635934173589
alt_diff: 5.940468318595265 , velocity_diff: 0.6589216336278183
alt_diff: 6.198931222701816 , velocity_diff: 0.5679960221288842
alt_diff: 6.431771997272051 , velocity_diff: 0.48151327779799963
alt_diff: 6.640263931278184 , velocity_diff: 0.3995017137193174
alt_diff: 6.825689503649414 , velocity_diff: 0.3219912556133028
alt_diff: 6.989340858021819 , velocity_diff: 0.24901325352824416
alt_diff: 7.132520222650214 , velocity_diff: 0.18060028622001134
alt_diff: 7.256540272979379 , velocity_diff: 0.11678595769280803
alt_diff: 7.362724434230756 , velocity_diff: 0.05760468542802752
alt_diff: 7.452407121234842 , velocity_diff: 0.0030914798897859266
alt_diff: 7.526933912632643 , velocity_diff: 0.04671828503366934
alt_diff: 7.5876616564799235 , velocity_diff: 0.09178911091457606
alt_diff: 7.635958504228654 , velocity_diff: 0.13208562316909725
alt_diff: 7.673203870019705 , velocity_diff: 0.16757282901400278
alt_diff: 7.700788312218407 , velocity_diff: 0.19821638496190286
alt_diff: 7.720113334147754 , velocity_diff: 0.2239828737012351
alt_diff: 7.732591101040498 , velocity_diff: 0.24484009007739896
alt_diff: 7.739644070332872 , velocity_diff: 0.2607573357515662
alt_diff: 7.742704532569576 , velocity_diff: 0.2717057219639824
alt_diff: 7.743214060380609 , velocity_diff: 0.277658479669607
alt_diff: 7.742622863233009 , velocity_diff: 0.27859127614658574
alt_diff: 7.742389045952109 , velocity_diff: 0.27448253700394926
alt_diff: 7.743977769350408 , velocity_diff: 0.2653137723348525
alt_diff: 7.748860311706466 , velocity_diff: 0.25106990557809195
alt_diff: 7.7585130302889525 , velocity_diff: 0.23173960346559233
alt_diff: 7.774416222636091 , velocity_diff: 0.20731560524928236
alt_diff: 7.798052887868266 , velocity_diff: 0.17779504922066378
alt_diff: 7.830907388934776 , velocity_diff: 0.1431797943631245
alt_diff: 7.874464017370258 , velocity_diff: 0.10347673481449189
alt_diff: 7.930205462861153 , velocity_diff: 0.058698104668885365
alt_diff: 7.999611190687517 , velocity_diff: 0.00886177051690239
alt_diff: 8.084155730912983 , velocity_diff: 0.046008490984896996
alt_diff: 8.1853068840297 , velocity_diff: 0.10588273330572077
alt_diff: 8.304523848626104 , velocity_diff: 0.17072460083558083
alt_diff: 8.443255277514965 , velocity_diff: 0.24049111314263422
alt_diff: 8.602937269632832 , velocity_diff: 0.31513247553178536
alt_diff: 8.78499130588824 , velocity_diff: 0.3945919186819082
alt_diff: 8.990822137976892 , velocity_diff: 0.47880557003477087
alt_diff: 9.22181563998771 , velocity_diff: 0.5677023594588158
alt_diff: 9.479336633382815 , velocity_diff: 0.6612039615148273
